Available Spaces,Precipitation,WindSpeed,DayOfWeek,MinutesPastMidnight,CarparkCodeInt,WeekdayWeekend,TimeOfDay
431,0.0,25.9,0,377,3,1,1
712,0.0,25.9,0,377,4,1,1
441,0.0,25.9,0,377,5,1,1
300,0.0,25.9,0,382,0,1,1
56,0.0,25.9,0,382,1,1,1
334,0.0,25.9,0,382,2,1,1
433,0.0,25.9,0,382,3,1,1
712,0.0,25.9,0,382,4,1,1
437,0.0,25.9,0,382,5,1,1
302,0.0,25.9,0,387,0,1,1
58,0.0,25.9,0,387,1,1,1
334,0.0,25.9,0,387,2,1,1
431,0.0,25.9,0,387,3,1,1
711,0.0,25.9,0,387,4,1,1
436,0.0,25.9,0,387,5,1,1
303,0.0,25.9,0,392,0,1,1
62,0.0,25.9,0,392,1,1,1
333,0.0,25.9,0,392,2,1,1
429,0.0,25.9,0,392,3,1,1
709,0.0,25.9,0,392,4,1,1
434,0.0,25.9,0,392,5,1,1
304,0.0,25.9,0,397,0,1,1
69,0.0,25.9,0,397,1,1,1
331,0.0,25.9,0,397,2,1,1
429,0.0,25.9,0,397,3,1,1
709,0.0,25.9,0,397,4,1,1
432,0.0,25.9,0,397,5,1,1
311,0.0,25.9,0,402,0,1,1
72,0.0,25.9,0,402,1,1,1
332,0.0,25.9,0,402,2,1,1
430,0.0,25.9,0,402,3,1,1
709,0.0,25.9,0,402,4,1,1
432,0.0,25.9,0,402,5,1,1
310,0.0,25.9,0,407,0,1,1
74,0.0,25.9,0,407,1,1,1
328,0.0,25.9,0,407,2,1,1
429,0.0,25.9,0,407,3,1,1
709,0.0,25.9,0,407,4,1,1
432,0.0,25.9,0,407,5,1,1
304,0.0,25.9,0,412,0,1,1
78,0.0,25.9,0,412,1,1,1
325,0.0,25.9,0,412,2,1,1
427,0.0,25.9,0,412,3,1,1
710,0.0,25.9,0,412,4,1,1
426,0.0,25.9,0,412,5,1,1
305,0.0,25.9,0,417,0,1,1
80,0.0,25.9,0,417,1,1,1
326,0.0,25.9,0,417,2,1,1
433,0.0,25.9,0,417,3,1,1
707,0.0,25.9,0,417,4,1,1
425,0.0,25.9,0,417,5,1,1
309,0.0,22.3,0,422,0,1,1
84,0.0,22.3,0,422,1,1,1
318,0.0,22.3,0,422,2,1,1
431,0.0,22.3,0,422,3,1,1
706,0.0,22.3,0,422,4,1,1
421,0.0,22.3,0,422,5,1,1
310,0.0,22.3,0,426,0,1,1
89,0.0,22.3,0,426,1,1,1
305,0.0,22.3,0,426,2,1,1
430,0.0,22.3,0,426,3,1,1
705,0.0,22.3,0,426,4,1,1
423,0.0,22.3,0,426,5,1,1
307,0.0,22.3,0,432,0,1,1
98,0.0,22.3,0,432,1,1,1
299,0.0,22.3,0,432,2,1,1
433,0.0,22.3,0,432,3,1,1
703,0.0,22.3,0,432,4,1,1
419,0.0,22.3,0,432,5,1,1
307,0.0,22.3,0,437,0,1,1
104,0.0,22.3,0,437,1,1,1
288,0.0,22.3,0,437,2,1,1
434,0.0,22.3,0,437,3,1,1
699,0.0,22.3,0,437,4,1,1
423,0.0,22.3,0,437,5,1,1
314,0.0,22.3,0,442,0,1,1
108,0.0,22.3,0,442,1,1,1
271,0.0,22.3,0,442,2,1,1
436,0.0,22.3,0,442,3,1,1
691,0.0,22.3,0,442,4,1,1
424,0.0,22.3,0,442,5,1,1
313,0.0,22.3,0,447,0,1,1
108,0.0,22.3,0,447,1,1,1
259,0.0,22.3,0,447,2,1,1
434,0.0,22.3,0,447,3,1,1
686,0.0,22.3,0,447,4,1,1
407,0.0,22.3,0,447,5,1,1
303,0.0,22.3,0,452,0,1,1
116,0.0,22.3,0,452,1,1,1
240,0.0,22.3,0,452,2,1,1
434,0.0,22.3,0,452,3,1,1
679,0.0,22.3,0,452,4,1,1
394,0.0,22.3,0,452,5,1,1
299,0.0,22.3,0,457,0,1,1
123,0.0,22.3,0,457,1,1,1
220,0.0,22.3,0,457,2,1,1
434,0.0,22.3,0,457,3,1,1
677,0.0,22.3,0,457,4,1,1
384,0.0,22.3,0,457,5,1,1
288,0.0,22.3,0,461,0,1,1
131,0.0,22.3,0,461,1,1,1
208,0.0,22.3,0,461,2,1,1
432,0.0,22.3,0,461,3,1,1
664,0.0,22.3,0,461,4,1,1
375,0.0,22.3,0,461,5,1,1
280,0.0,22.3,0,467,0,1,1
139,0.0,22.3,0,467,1,1,1
196,0.0,22.3,0,467,2,1,1
429,0.0,22.3,0,467,3,1,1
657,0.0,22.3,0,467,4,1,1
347,0.0,22.3,0,467,5,1,1
270,0.0,22.3,0,472,0,1,1
140,0.0,22.3,0,472,1,1,1
166,0.0,22.3,0,472,2,1,1
424,0.0,22.3,0,472,3,1,1
642,0.0,22.3,0,472,4,1,1
329,0.0,22.3,0,472,5,1,1
252,0.0,22.3,0,477,0,1,1
142,0.0,22.3,0,477,1,1,1
151,0.0,22.3,0,477,2,1,1
421,0.0,22.3,0,477,3,1,1
635,0.0,22.3,0,477,4,1,1
308,0.0,22.3,0,477,5,1,1
237,0.0,22.3,0,482,0,1,1
144,0.0,22.3,0,482,1,1,1
146,0.0,22.3,0,482,2,1,1
421,0.0,22.3,0,482,3,1,1
621,0.0,22.3,0,482,4,1,1
281,0.0,22.3,0,482,5,1,1
224,0.0,22.3,0,487,0,1,1
145,0.0,22.3,0,487,1,1,1
140,0.0,22.3,0,487,2,1,1
420,0.0,22.3,0,487,3,1,1
615,0.0,22.3,0,487,4,1,1
260,0.0,22.3,0,487,5,1,1
200,0.0,22.3,0,492,0,1,1
148,0.0,22.3,0,492,1,1,1
129,0.0,22.3,0,492,2,1,1
418,0.0,22.3,0,492,3,1,1
599,0.0,22.3,0,492,4,1,1
232,0.0,22.3,0,492,5,1,1
178,0.0,22.3,0,497,0,1,1
152,0.0,22.3,0,497,1,1,1
115,0.0,22.3,0,497,2,1,1
414,0.0,22.3,0,497,3,1,1
588,0.0,22.3,0,497,4,1,1
220,0.0,22.3,0,497,5,1,1
160,0.0,22.3,0,502,0,1,1
145,0.0,22.3,0,502,1,1,1
105,0.0,22.3,0,502,2,1,1
406,0.0,22.3,0,502,3,1,1
578,0.0,22.3,0,502,4,1,1
197,0.0,22.3,0,502,5,1,1
141,0.0,22.3,0,507,0,1,1
144,0.0,22.3,0,507,1,1,1
95,0.0,22.3,0,507,2,1,1
402,0.0,22.3,0,507,3,1,1
552,0.0,22.3,0,507,4,1,1
165,0.0,22.3,0,507,5,1,1
117,0.0,22.3,0,512,0,1,1
144,0.0,22.3,0,512,1,1,1
82,0.0,22.3,0,512,2,1,1
390,0.0,22.3,0,512,3,1,1
523,0.0,22.3,0,512,4,1,1
135,0.0,22.3,0,512,5,1,1
93,0.0,22.3,0,517,0,1,1
144,0.0,22.3,0,517,1,1,1
73,0.0,22.3,0,517,2,1,1
385,0.0,22.3,0,517,3,1,1
498,0.0,22.3,0,517,4,1,1
108,0.0,22.3,0,517,5,1,1
76,0.0,22.3,0,522,0,1,1
137,0.0,22.3,0,522,1,1,1
63,0.0,22.3,0,522,2,1,1
373,0.0,22.3,0,522,3,1,1
465,0.0,22.3,0,522,4,1,1
76,0.0,22.3,0,522,5,1,1
72,0.0,22.3,0,527,0,1,1
129,0.0,22.3,0,527,1,1,1
54,0.0,22.3,0,527,2,1,1
360,0.0,22.3,0,527,3,1,1
437,0.0,22.3,0,527,4,1,1
61,0.0,22.3,0,527,5,1,1
55,0.0,22.3,0,532,0,1,1
121,0.0,22.3,0,532,1,1,1
51,0.0,22.3,0,532,2,1,1
337,0.0,22.3,0,532,3,1,1
412,0.0,22.3,0,532,4,1,1
53,0.0,22.3,0,532,5,1,1
49,0.0,22.3,0,537,5,1,1
41,0.0,22.3,0,537,0,1,1
114,0.0,22.3,0,537,1,1,1
40,0.0,22.3,0,537,2,1,1
322,0.0,22.3,0,537,3,1,1
388,0.0,22.3,0,537,4,1,1
34,0.2,22.3,0,542,0,1,1
107,0.2,22.3,0,542,1,1,1
34,0.2,22.3,0,542,2,1,1
303,0.2,22.3,0,542,3,1,1
380,0.2,22.3,0,542,4,1,1
40,0.2,22.3,0,542,5,1,1
28,0.2,22.3,0,547,0,1,1
102,0.2,22.3,0,547,1,1,1
31,0.2,22.3,0,547,2,1,1
288,0.2,22.3,0,547,3,1,1
